Item Code,Item Short Desc
COR11707_R1,11707-R1 20x14.75x10.5
COR17M013701_R1,17M013701-R1 20.812x14.75x14.7
COR22NF0271.22_A,22NF0271.22_A 23x15x14
COR2320_5992 RDC,2320-5992 RDC 50.375x13.375x5
COR2320_5992 RDC,2320-5992 RDC 50.375x13.375x5
COR2320_5992 RDC,2320-5992 RDC 50.375x13.375x5
CORM37238 GLORD SLEEVE_R1,M37238 GAYLORD SLEEVE_R1
CORM37238 CAP,M37238 CAP47.6875x37.5625x5
COR20M018814,20M018814 18.5x13.25x10
CORM37238 CAP,M37238 CAP47.6875x37.5625x5
COR24M013206,24M013206 37.6875x21.9375x8.93
CORM34795_INSERTS_48_R1,M34795_INSERTS_48_R1 10x9x7
CORMPS13164,MPS13164 23x8x10.25
CORL14795A1,L14795A1 35.75x9x13.75
COR17M022101_R2,17M022101-R2 20.25x14.125x12.7
COR2320_5833,2320_5833 38.5x6.5x6
COR17M027920_R2,17M027920-R2 12.25X11.75X6.5
COR21LG0002.01,21LG0002.01  16.5x15.4375x16.8
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
CORM38164,M38164 23.0625x11.25x5.6875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
COR6070 RDC,6070 RDC 50x9x4.875
CORF210335A4,F210335A4 17x14x8.25
CORMPS13215C,zMPS13215C DO NOT USE
COR23M016803,23M016803 23x11.875x6.9375
CORDRF_L9680A3,DRF_L9680A3 39x8x13
